task_model,task_data,value
0,0,128281.421875
0,1,72461.41796875
0,2,64346.24609375
0,3,65126.98046875
0,4,87446.08984375
1,0,181233.09375
1,1,349282.0
1,2,203956.109375
1,3,175887.9921875
1,4,155117.5546875
2,0,131818.6640625
2,1,151649.609375
2,2,280624.359375
2,3,159954.75390625
2,4,100593.5703125
3,0,116850.59765625
3,1,124348.30859375
3,2,132945.234375
3,3,174480.953125
3,4,101420.20703125
4,0,151885.75390625
4,1,70657.33203125
4,2,69300.177734375
4,3,66255.267578125
4,4,182735.6640625
