task_model,task_data,value
0,0,10298.545360565186
0,1,117.16301739215851
0,2,44.55327242612839
0,3,325.46715438365936
0,4,1196.6282725334167
1,0,28965.65532684326
1,1,17124.184608459473
1,2,2342.759847640991
1,3,288.7144088745117
1,4,1950.4988193511963
2,0,27709.110260009766
2,1,14195.828914642334
2,2,18620.53680419922
2,3,1324.5120644569397
2,4,1781.3057899475098
3,0,23995.147705078125
3,1,9026.073455810547
3,2,13272.607326507568
3,3,22195.767402648926
3,4,1482.3462963104248
4,0,19334.5365524292
4,1,7230.921983718872
4,2,10783.140182495117
4,3,19050.929069519043
4,4,14835.108757019043
