task_model,task_data,value
0,0,3956.34326171875
0,1,2230.9639892578125
0,2,1853.5667724609375
0,3,1878.7454833984375
0,4,3030.6158447265625
1,0,13701.96533203125
1,1,16475.32421875
1,2,8107.649658203125
1,3,6777.77880859375
1,4,7006.839599609375
2,0,13295.4365234375
2,1,20550.6884765625
2,2,18260.33984375
2,3,7570.95361328125
2,4,6538.140380859375
3,0,13823.77880859375
3,1,15560.27734375
3,2,15147.0888671875
3,3,18582.9609375
3,4,6171.024169921875
4,0,13172.80615234375
4,1,15136.84375
4,2,15417.1533203125
4,3,19420.84521484375
4,4,12444.72998046875
