task_model,task_data,value
0,0,163973.13690185547
1,1,381664.7844314575
2,2,463856.34660720825
3,3,484404.4404029846
4,4,471450.37961006165
5,5,477615.11874198914
6,6,481836.1282348633
7,7,480180.3421974182
8,8,527967.883348465
9,9,537465.3638601303
