task_model,task_data,value
0,0,108.475019369499
0,1,31.002966237801147
0,2,46.18498954297977
0,3,26.363020854592612
0,4,30.840634359199758
0,5,46.34679998398587
0,6,48.664323558034056
0,7,28.50416031393427
0,8,30.29598959870075
0,9,35.9189848757007
1,0,65.09752735348209
1,1,122.83031250844965
1,2,44.63106553015177
1,3,45.08573750615694
1,4,40.62690028260579
1,5,69.31385547459274
1,6,86.49586726660011
1,7,36.24927357039198
1,8,39.447358398190836
1,9,41.1707114000752
2,0,47.51541928026122
2,1,45.15804378691452
2,2,149.31147614240894
2,3,29.074469392203838
2,4,36.33195479794095
2,5,33.9453408060282
2,6,73.60855920553628
2,7,33.02083925772091
2,8,29.161854803842786
2,9,33.298959331739994
3,0,47.39865286485654
3,1,65.42968203739561
3,2,42.489713576291365
3,3,123.80227420586465
3,4,48.721610798783566
3,5,60.10122134755924
3,6,54.03621582706626
3,7,33.601063303107004
3,8,38.20986585486584
3,9,64.68074106158977
4,0,55.95177405799967
4,1,47.00805031991019
4,2,54.282708250124706
4,3,45.577038815898945
4,4,160.16106178663625
4,5,69.68128664409623
4,6,53.62339254479278
4,7,32.200151372506035
4,8,35.277812898460084
4,9,54.891533808579595
5,0,59.3498952895514
5,1,41.748449879000276
5,2,39.56697554980054
5,3,44.68271808875097
5,4,57.54953647762026
5,5,174.0992913162338
5,6,56.93668076234564
5,7,38.939053141925285
5,8,41.12303220603861
5,9,44.52304003462164
6,0,38.511537605959354
6,1,41.35911608262879
6,2,49.478715858974454
6,3,35.83016885935645
6,4,36.31452823954314
6,5,50.171351336540944
6,6,181.77582781900844
6,7,50.532823039547324
6,8,45.45277632254777
6,9,49.47215198503599
7,0,38.89787581731866
7,1,36.783852443490765
7,2,45.64561205089587
7,3,31.437510252054956
7,4,39.54638567058229
7,5,49.56166250940036
7,6,82.74437216631333
7,7,124.93095047791662
7,8,29.14096400944315
7,9,49.1138225121118
8,0,68.64361299277634
8,1,48.95942714314648
8,2,44.569189989643064
8,3,51.12996870178912
8,4,60.16151492180563
8,5,94.2229344173862
8,6,68.55991590164476
8,7,42.90912579993077
8,8,170.28008210341682
8,9,55.77830291840582
9,0,45.48363403321959
9,1,61.97675853055711
9,2,39.60872851544864
9,3,59.2095402628545
9,4,62.06479788381539
9,5,90.5684370987646
9,6,83.09651445617861
9,7,53.203945438700686
9,8,69.51257371412463
9,9,178.11718851925062
