task_model,task_data,value
0,0,100253.47480773926
0,1,22446.965980529785
0,2,33240.03667831421
0,3,17749.39727783203
0,4,20384.22679901123
0,5,34019.18668746948
0,6,32129.638695716858
0,7,18079.714155197144
0,8,20848.99172782898
0,9,24205.424118041992
1,0,61744.44179534912
1,1,127421.41876220703
1,2,38266.1527633667
1,3,36934.33322906494
1,4,31681.923007965088
1,5,58638.31901550293
1,6,63447.016954422
1,7,25457.874965667725
1,8,34887.76960372925
1,9,33277.24542617798
2,0,38068.47524642944
2,1,35349.50199127197
2,2,144630.97229003906
2,3,21785.785007476807
2,4,24279.84595298767
2,5,25158.48717689514
2,6,51847.15256690979
2,7,23037.087154388428
2,8,21879.020977020264
2,9,24299.500370025635
3,0,41281.583404541016
3,1,56023.97384643555
3,2,32984.0690612793
3,3,134414.07890319824
3,4,35318.34454536438
3,5,44598.6065864563
3,6,40529.19206619263
3,7,23750.08215904236
3,8,27471.845865249634
3,9,47437.5771522522
4,0,52113.992500305176
4,1,41861.27414703369
4,2,48198.9990234375
4,3,42627.106857299805
4,4,156954.52613830566
4,5,58818.56174468994
4,6,43904.336643218994
4,7,26911.54079437256
4,8,28105.255699157715
4,9,45077.04963684082
5,0,45822.52588272095
5,1,29935.40334701538
5,2,26683.79144668579
5,3,34325.77714920044
5,4,36520.47219276428
5,5,180841.35360717773
5,6,42215.5396938324
5,7,28665.335369110107
5,8,27733.184719085693
5,9,30382.912254333496
6,0,29729.947662353516
6,1,31710.05210876465
6,2,42356.626987457275
6,3,27876.518058776855
6,4,24912.13035583496
6,5,37620.363998413086
6,6,185584.01527404785
6,7,38098.05865287781
6,8,32382.80143737793
6,9,37804.913330078125
7,0,40829.391384124756
7,1,34669.6982383728
7,2,48476.57527923584
7,3,27363.27199935913
7,4,31935.6388092041
7,5,47718.48907470703
7,6,86495.53031921387
7,7,142274.76806640625
7,8,24542.433738708496
7,9,45111.619567871094
8,0,52701.96723937988
8,1,37825.35209655762
8,2,31035.534858703613
8,3,37347.42240905762
8,4,40977.87370681763
8,5,72824.25479888916
8,6,47899.47547912598
8,7,27865.99884033203
8,8,182999.560546875
8,9,37106.777477264404
9,0,41165.68698883057
9,1,54503.1457901001
9,2,36344.755840301514
9,3,52198.22578430176
9,4,49772.47896194458
9,5,78549.48768615723
9,6,69793.00022125244
9,7,42509.83266830444
9,8,60626.096534729004
9,9,187347.30377197266
