task_model,task_data,value
0,0,94.70514827599877
0,1,26.67621501869875
0,2,42.075985356959684
0,3,21.521611373815713
0,4,28.41047164710658
0,5,39.887087574723196
0,6,41.649087833793224
0,7,25.644299535473113
0,8,28.960157420475454
0,9,34.940643522627084
1,0,111.76156430009793
1,1,93.60576939509947
1,2,51.90600528655099
1,3,42.708997899260794
1,4,49.943396714869856
1,5,63.221160082603156
1,6,81.99477364316624
1,7,29.241263863022134
1,8,37.31381190462658
1,9,41.396874453301024
2,0,92.5504704812621
2,1,83.38395170555806
2,2,95.87024243207236
2,3,39.09481751017723
2,4,46.80682761341754
2,5,50.64791437416667
2,6,67.27771817763782
2,7,26.71149724234876
2,8,31.15687958985137
2,9,35.49449787898312
3,0,84.9111842048426
3,1,74.25445600574747
3,2,90.53552980448782
3,3,67.96124816107607
3,4,45.011843784912855
3,5,48.65995348372832
3,6,56.49341521031986
3,7,22.8217862354233
3,8,29.27156203700081
3,9,38.86286936757054
4,0,76.42946289406488
4,1,64.74973083136112
4,2,77.67756559134607
4,3,60.2422751409919
4,4,78.5463427683494
4,5,47.55905439614458
4,6,35.762248772871274
4,7,20.946821902462897
4,8,26.227355990193935
4,9,33.4896600159971
5,0,71.18355999087885
5,1,58.07788795141703
5,2,68.91366539226402
5,3,56.48047528022874
5,4,71.40428359195157
5,5,70.21996310207763
5,6,30.293407968623857
5,7,20.8915310559978
5,8,24.6876244481818
5,9,31.444432832143058
6,0,64.83217944116127
6,1,53.46488871249604
6,2,63.09418407948498
6,3,52.73003208230475
6,4,68.78405930758622
6,5,63.40515322727916
6,6,56.93065027974064
6,7,22.629455564362136
6,8,29.045192883033106
6,9,30.843834912420725
7,0,59.525385121864
7,1,49.40960638633913
7,2,57.12290433823187
7,3,48.03818871397658
7,4,65.42458840900112
7,5,58.20499185354526
7,6,49.5739186578495
7,7,40.25519760934832
7,8,26.9678331786706
7,9,29.59123678733166
8,0,59.04540322698129
8,1,45.59535076350465
8,2,53.441233830038215
8,3,46.721270325833835
8,4,61.874469439802226
8,5,57.30047649556306
8,6,46.54802171079153
8,7,38.482144894246936
8,8,54.47886714051725
8,9,29.689560667569843
9,0,52.62095954014501
9,1,42.265338881918346
9,2,50.47990824457298
9,3,44.83695546194788
9,4,58.189034111920876
9,5,52.38005838805116
9,6,44.49269395442613
9,7,35.90500157204164
9,8,50.98414232643585
9,9,48.869186588225965
