task_model,task_data,value
0,0,91133.08447265625
0,1,73122.99365234375
0,2,74611.35498046875
0,3,70575.49365234375
0,4,67242.77783203125
0,5,74777.69482421875
0,6,67458.47412109375
0,7,65756.96923828125
0,8,71192.11962890625
0,9,69752.5146484375
1,0,160524.0693359375
1,1,144567.189453125
1,2,116729.68115234375
1,3,104962.9365234375
1,4,104056.62548828125
1,5,113061.57373046875
1,6,101316.6298828125
1,7,94314.7294921875
1,8,107170.07421875
1,9,104121.12548828125
2,0,104713.16552734375
2,1,97122.4619140625
2,2,93190.65478515625
2,3,65954.9794921875
2,4,63411.501708984375
2,5,67115.3759765625
2,6,55061.98193359375
2,7,54561.9501953125
2,8,65741.1142578125
2,9,58593.87353515625
3,0,58355.7314453125
3,1,55759.30322265625
3,2,52378.00695800781
3,3,49840.303466796875
3,4,30648.81884765625
3,5,32964.02233886719
3,6,26897.3046875
3,7,25364.86669921875
3,8,31967.878173828125
3,9,29487.238891601562
4,0,27826.5810546875
4,1,26040.1279296875
4,2,27110.622131347656
4,3,24798.233154296875
4,4,21142.985229492188
4,5,16921.779296875
4,6,13108.909118652344
4,7,12979.074951171875
4,8,15822.88916015625
4,9,14481.342407226562
5,0,14290.06298828125
5,1,13902.522399902344
5,2,14679.665283203125
5,3,14183.838623046875
5,4,11611.882995605469
5,5,13423.145446777344
5,6,7796.961181640625
5,7,7869.788513183594
5,8,9101.707153320312
5,9,8693.597839355469
6,0,10875.108215332031
6,1,10846.93408203125
6,2,11538.097595214844
6,3,11071.206451416016
6,4,9303.804992675781
6,5,10165.535888671875
6,6,8696.224304199219
6,7,6695.6685791015625
6,8,7667.34765625
6,9,7180.880889892578
7,0,9766.601928710938
7,1,9424.390930175781
7,2,10119.462280273438
7,3,10279.314880371094
7,4,8336.856567382812
7,5,9255.102142333984
7,6,8115.317321777344
7,7,8162.1497802734375
7,8,6891.195556640625
7,9,6801.219024658203
8,0,9198.406005859375
8,1,8777.653381347656
8,2,9524.896942138672
8,3,9565.0703125
8,4,7781.108459472656
8,5,8790.90640258789
8,6,7538.903747558594
8,7,7470.03369140625
8,8,9396.177917480469
8,9,6512.162292480469
9,0,9106.501708984375
9,1,8378.404357910156
9,2,9402.976501464844
9,3,9737.179901123047
9,4,7809.8009033203125
9,5,8314.045959472656
9,6,7708.683898925781
9,7,7399.4188232421875
9,8,9114.7685546875
9,9,8703.213134765625
