task_model,task_data,value
0,0,0.68582207
1,1,0.42427045
2,2,0.28431493
3,3,0.23499878
4,4,0.23986383
0,0,0.68582207
1,1,0.42427045
2,2,0.28431493
3,3,0.23499878
4,4,0.23986383
