task_model,task_data,value
0,0,6863.981233568956
0,1,166.47355410986373
0,2,47.59861407875933
0,3,490.5009485996413
0,4,895.8252643143423
1,0,3916.15850174446
1,1,1275.3785889510032
1,2,276.27878397068196
1,3,258.0841986586085
1,4,544.3452984423642
2,0,2976.7865331832554
2,1,1142.1044993450857
2,2,1158.7398328603142
2,3,226.44069498089658
2,4,426.4716331807411
3,0,2387.7977996426084
3,1,790.8338149379672
3,2,1343.5724545491248
3,3,835.0914752046855
3,4,359.6641045098912
4,0,2291.0019950589694
4,1,670.8888391157709
4,2,946.2279490109352
4,3,2049.7931587363373
4,4,819.6566498970925
