task_model,task_data,value
0,0,2231.6301879882812
0,1,1704.7508544921875
0,2,1462.0059814453125
0,3,1446.8145141601562
0,4,2024.4306640625
1,0,31044.14794921875
1,1,18872.2314453125
1,2,10152.08349609375
1,3,9897.71142578125
1,4,17327.77099609375
2,0,21200.87109375
2,1,29133.5185546875
2,2,16668.5009765625
2,3,11184.06884765625
2,4,12149.4599609375
3,0,17013.12060546875
3,1,28039.0224609375
3,2,24406.1796875
3,3,18081.044921875
3,4,10150.60791015625
4,0,30769.0390625
4,1,30777.8662109375
4,2,28829.5625
4,3,28104.3134765625
4,4,18414.2470703125
