task_model,task_data,value
0,0,7666.600465774536
0,1,142.04000681638718
0,2,34.82955880463123
0,3,355.1871329545975
0,4,907.6757431030273
1,0,60847.74971008301
1,1,12046.666622161865
1,2,1403.806447982788
1,3,1278.499960899353
1,4,4720.8662033081055
2,0,31586.820602416992
2,1,16653.414726257324
2,2,9666.894912719727
2,3,1267.53169298172
2,4,2593.293309211731
3,0,20332.27825164795
3,1,11098.201751708984
3,2,16412.147521972656
3,3,7557.220458984375
3,4,1827.2318840026855
4,0,35281.246185302734
4,1,10334.598064422607
4,2,13653.322219848633
4,3,28832.847595214844
4,4,7554.234266281128
