task_model,task_data,value
0,0,0.58652353
0,1,0.043816254
0,2,0.019679563
0,3,0.11295728
0,4,0.20827423
1,0,0.4107464
1,1,0.40583253
1,2,0.1381708
1,3,0.050599977
1,4,0.09659323
2,0,0.37126374
2,1,0.24071606
2,2,0.4230314
2,3,0.10263344
2,4,0.0932653
3,0,0.32621175
3,1,0.17048374
3,2,0.2593445
3,3,0.48016852
3,4,0.1045452
4,0,0.31347743
4,1,0.14502984
4,2,0.19107458
4,3,0.35949782
4,4,0.5101842
