task_model,task_data,value
0,0,123681.25915527344
0,1,1283.2451462745667
0,2,262.29333877563477
0,3,3000.2870559692383
0,4,11783.36477279663
1,0,95720.10803222656
1,1,60569.37217712402
1,2,7318.063259124756
1,3,1342.9527878761292
1,4,7765.284061431885
2,0,66129.44030761719
2,1,22631.309509277344
2,2,61321.72203063965
2,3,3322.908043861389
2,4,5588.23823928833
3,0,42267.04978942871
3,1,19951.165199279785
3,2,37595.30067443848
3,3,56389.638900756836
3,4,4870.203733444214
4,0,53699.86343383789
4,1,18307.276725769043
4,2,24988.798141479492
4,3,59126.63269042969
4,4,81837.92877197266
