task_model,task_data,value
0,0,5107.339425938806
0,1,102.94654497612835
0,2,46.259850696083454
0,3,260.8122955450135
0,4,749.3346542257478
1,0,4166.280736029257
1,1,1902.7859607561788
1,2,535.9267817701397
1,3,60.29275572605977
1,4,572.9048746821311
2,0,3801.9241713229935
2,1,1443.128114531084
2,2,2159.362389412449
2,3,378.9870534272333
2,4,509.4346079412239
3,0,3461.2128612779725
3,1,1226.384047068866
3,2,1764.90047734297
3,3,2502.917603940186
3,4,508.76338526907335
4,0,2777.6521151161696
4,1,912.2070388390102
4,2,1525.6383784356822
4,3,2140.532818630026
4,4,2400.574445212368
