task_model,task_data,value
0,0,171040.41290283203
0,1,1446.6239213943481
0,2,2702.7342319488525
0,3,2659.729480743408
0,4,17959.646224975586
1,0,403054.5349121094
1,1,155642.9214477539
1,2,27522.520065307617
1,3,5780.876159667969
1,4,33959.19227600098
2,0,293861.7401123047
2,1,87336.72714233398
2,2,102431.38885498047
2,3,10654.249668121338
2,4,25677.600860595703
3,0,142981.8878173828
3,1,31434.55410003662
3,2,39381.82258605957
3,3,57175.51231384277
3,4,10140.037536621094
4,0,43940.88554382324
4,1,12808.614253997803
4,2,17329.1015625
4,3,26331.15005493164
4,4,17067.365646362305
