task_model,task_data,value
0,0,1887.6279418814197
1,1,971.0821385080338
2,2,675.1528940219607
3,3,546.66097709799
4,4,463.79561675091736
5,5,403.7417682115542
6,6,386.81926177621625
7,7,348.28734814328885
8,8,327.3742992809574
9,9,310.242622138706
