task_model,task_data,value
0,0,808.5035151113229
1,1,449.69665307857076
2,2,354.7041055544468
3,3,322.2929860987282
4,4,289.39371509170104
5,5,259.96010207199913
6,6,239.00463541180127
7,7,214.79446105392714
8,8,190.57011910599329
9,9,208.80750963789885
