task_model,task_data,value
0,0,1909.9760525297363
1,1,1000.9070153269967
2,2,707.2834322105787
3,3,572.3747569846033
4,4,470.0544940564088
5,5,428.89473269497216
6,6,389.3913007509736
7,7,363.7019650863059
8,8,337.1522397721598
9,9,319.6559612573457
