task_model,task_data,value
0,0,49373.44543457031
1,1,170490.33715820312
2,2,272005.3566894531
3,3,412484.87646484375
4,4,567609.5688476562
5,5,728675.1586914062
6,6,838341.6411132812
7,7,1019793.8784179688
8,8,1151889.6086425781
9,9,1218626.1071777344
