task_model,task_data,value
0,0,9796.503173828125
1,1,140331.943359375
2,2,299206.09375
3,3,459017.01953125
4,4,571291.9921875
0,0,9796.503173828125
1,1,140331.943359375
2,2,299206.09375
3,3,459017.01953125
4,4,571291.9921875
