task_model,task_data,value
0,0,7680.230140686035
0,1,132.42801278829575
0,2,38.18555362522602
0,3,347.9175567626953
0,4,924.6625006198883
1,0,66038.99383544922
1,1,12400.800228118896
1,2,1402.2395610809326
1,3,821.9111859798431
1,4,5337.278366088867
2,0,43955.61599731445
2,1,17920.703887939453
2,2,9230.903625488281
2,3,1096.4481830596924
2,4,4570.513725280762
3,0,21630.881309509277
3,1,12799.661636352539
3,2,17424.152374267578
3,3,7217.83709526062
3,4,3079.249382019043
4,0,33690.66047668457
4,1,8815.827369689941
4,2,14975.49819946289
4,3,26645.350456237793
4,4,10193.194389343262
