task_model,task_data,value
0,0,2180.4024047851562
0,1,1669.5081176757812
0,2,1490.8080444335938
0,3,1439.5740966796875
0,4,2166.324462890625
1,0,32342.27294921875
1,1,17444.072265625
1,2,9381.43017578125
1,3,8759.6669921875
1,4,17020.8916015625
2,0,28373.703125
2,1,31375.8232421875
2,2,16412.16259765625
2,3,10956.9765625
2,4,14946.90771484375
3,0,18136.5205078125
3,1,30978.3974609375
3,2,26453.2119140625
3,3,17421.9072265625
3,4,10790.91259765625
4,0,32460.107421875
4,1,27492.7763671875
4,2,29501.96875
4,3,27328.81640625
4,4,19030.1875
