task_model,task_data,value
0,0,534714.7890625
1,1,638382.5986328125
2,2,294547.30712890625
3,3,301199.4035644531
4,4,351560.9641113281
5,5,415174.27783203125
6,6,466228.8729248047
7,7,535460.0737304688
8,8,567604.6976318359
9,9,615038.6745605469
