task_model,task_data,value
0,0,0.102690466
1,1,0.07199463
2,2,0.049263485
3,3,0.035730977
4,4,0.023669649
5,5,0.012995718
6,6,0.00429378
7,7,0.0017340195
8,8,-0.005936015
9,9,-0.008998978
