epoch,value
0,1.0
1,0.97435564
2,0.96665597
3,0.9372463
4,0.9393966
0,1.0000001
1,0.95497954
2,0.9466047
3,0.9286195
4,0.8951892
0,1.0000001
1,0.95497954
2,0.9466047
3,0.9286195
4,0.8951892
