epoch,value
0,0.99999994
1,0.9667195
2,0.97209823
3,0.94853187
4,0.90857184
0,1.0000001
1,0.99599344
2,0.9863887
3,0.9853929
4,0.96296316
0,1.0000001
1,0.99599344
2,0.9863887
3,0.9853929
4,0.96296316
0,0.739191
1,0.71661687
2,0.7367333
3,0.7542239
4,0.8018094
