task_model,task_data,value
0,0,198.0712584819543
0,1,40.142840572499026
0,2,57.96950294535891
0,3,38.03241737627106
0,4,48.02236229792065
0,5,48.006027409224615
0,6,27.847235315204436
0,7,23.34812243724279
0,8,35.55089138518886
0,9,39.37153531687618
1,0,151.14144886204755
1,1,110.82719353962514
1,2,49.77517541227985
1,3,39.82225256004284
1,4,47.519845129539455
1,5,54.7639662840948
1,6,51.1182481595963
1,7,23.572586896259775
1,8,37.580246180698325
1,9,41.52090643321267
2,0,119.44438054945773
2,1,103.37467290659106
2,2,90.19945030204244
2,3,38.79028752319438
2,4,40.90709780336324
2,5,48.16251485259844
2,6,56.8383099132993
2,7,23.19808906983617
2,8,33.26952205898588
2,9,34.54287729504965
3,0,103.07444920095867
3,1,92.61881639477951
3,2,96.82943827925295
3,3,60.88524776103827
3,4,38.65345035766926
3,5,48.471716413482895
3,6,63.69729825554608
3,7,24.220408912542656
3,8,30.577112826073087
3,9,37.92381798653465
4,0,90.24385886232844
4,1,83.02180577269658
4,2,91.73392764088327
4,3,69.5979508913846
4,4,68.52839231902497
4,5,52.390110637696836
4,6,55.87506369168622
4,7,23.43565174251674
4,8,31.740088314898898
4,9,43.107026352315145
5,0,77.99911972292841
5,1,70.75131967639662
5,2,76.57957113517911
5,3,60.58039659300899
5,4,78.74655824786382
5,5,71.64184150544729
5,6,47.21722791004865
5,7,24.22341694544289
5,8,28.37525749434334
5,9,39.9608921966846
6,0,71.4257143335821
6,1,63.97436824752657
6,2,69.75753863884023
6,3,53.67333112189775
6,4,79.85788515048492
6,5,91.48990745588175
6,6,54.476112187262814
6,7,28.06185442265849
6,8,30.714488336900324
6,9,40.11823105938701
7,0,68.99204137506261
7,1,57.98920564047396
7,2,64.63528437146567
7,3,47.05438876232452
7,4,72.07011998175291
7,5,85.53591959062051
7,6,79.31665616278434
7,7,46.96425230389073
7,8,29.40612112873454
7,9,38.195436117982254
8,0,63.817411571960164
8,1,54.28974743466951
8,2,64.37862244959416
8,3,48.26684164153463
8,4,66.97773021010191
8,5,76.32655196790623
8,6,72.82569961137736
8,7,58.98251672072072
8,8,50.274244845774604
8,9,37.603846674006064
9,0,63.95230211200544
9,1,50.87167603318358
9,2,59.464418295457214
9,3,45.16019078496122
9,4,65.96496180536863
9,5,83.34447016725198
9,6,73.61962397021199
9,7,51.95725652765066
9,8,59.96766309019347
9,9,52.585604013827115
